Channel Name,Rank,Week,Impressions,Genere,Languages
Rang,1,14,23400,assamese,Assamese
Rengoni,2,14,10675,assamese,Assamese
Ramdhenu,3,14,7279,assamese,Assamese
Jonack,4,14,2202,assamese,Assamese
DD North East,5,14,820,assamese,Assamese
News Live,1,14,48052,assamese news,Assamese
DY 365,2,14,23262,assamese news,Assamese
Protidin Time,3,14,20581,assamese news,Assamese
News18 Assam,4,14,14827,assamese news,Assamese
Prag News,5,14,14678,assamese news,Assamese
News Live,1,14,48052,bangla,Bangla
DY 365,2,14,23262,bangla,Bangla
Protidin Time,3,14,20581,bangla,Bangla
News18 Assam,4,14,14827,bangla,Bangla
Prag News,5,14,14678,bangla,Bangla
ABP Ananda,1,14,132176,bangla news,Bangla
Zee 24 Ghanta,2,14,77158,bangla news,Bangla
News18 Bangla,3,14,32246,bangla news,Bangla
Calcutta News,4,14,23912,bangla news,Bangla
Kolkata TV,5,14,20720,bangla news,Bangla
Bhojpuri Cinema,1,14,62426,bhojpuri,Bhojpuri
Zee Biskope,2,14,46281,bhojpuri,Bhojpuri
B4U Bhojpuri,3,14,41200,bhojpuri,Bhojpuri
Big Ganga,4,14,28270,bhojpuri,Bhojpuri
Dabangg,5,14,22393,bhojpuri,Bhojpuri
Comedy Central,1,14,217,english entertainment,English
STAR World,2,14,215,english entertainment,English
STAR World HD,3,14,187,english entertainment,English
Colors Infinity SD,4,14,147,english entertainment,English
AXN,5,14,146,english entertainment,English
STAR Movies,1,14,3217,english movies,English
Sony PIX,2,14,2854,english movies,English
Movies Now,3,14,2200,english movies,English
HBO,4,14,1494,english movies,English
MNX,5,14,1273,english movies,English
Republic TV,1,14,1896,english movies,English
Times Now,2,14,922,english movies,English
CNN News18,3,14,917,english movies,English
India Today Television,4,14,866,english movies,English
WION,5,14,627,english movies,English
TV9 Gujarati,1,14,63645,gujarati,Gujarati
ABP Asmita,2,14,58375,gujarati,Gujarati
Colors Gujarati Cinema,3,14,39371,gujarati,Gujarati
Zee 24 Kalak,4,14,32033,gujarati,Gujarati
Sandesh News,5,14,28954,gujarati,Gujarati
Sony MAX,1,14,782771,hindi movies,Hindi
Zee Cinema,2,14,609791,hindi movies,Hindi
STAR Gold,3,14,603664,hindi movies,Hindi
B4U Kadak,4,14,448776,hindi movies,Hindi
STAR Gold 2,5,14,418504,hindi movies,Hindi
B4U Kadak,1,14,330122,hindi movies rural,Hindi
Sony MAX,2,14,285025,hindi movies rural,Hindi
Zee Cinema,3,14,242094,hindi movies rural,Hindi
B4U Movies,4,14,219048,hindi movies rural,Hindi
STAR Gold,5,14,209714,hindi movies rural,Hindi
Sony MAX,1,14,497746,hindi movies urban,Hindi
