Channel Name,Impressions,Programme,Rank,Week,Genere,Languages
Rang,337,SAU BUWARI,1,14,assamese,Assamese
Rang,257,AAUKHIR JONAK,2,14,assamese,Assamese
Rang,254,BANDHAN,3,14,assamese,Assamese
Rang,246,DUTI MONOR JONAK,4,14,assamese,Assamese
Rengoni,176,NIYORORE PHOOL,5,14,assamese,Assamese
Zee Bangla,1882,SA RE GA MA PA,1,14,bangla,Bangla
Zee Bangla,1810,KARUNAMOYI RANI RASHMONI,2,14,bangla,Bangla
Zee Bangla,1722,KRISHNAKOLI,3,14,bangla,Bangla
STAR Jalsha,1654,KE APON KE POR,4,14,bangla,Bangla
Zee Bangla,1589,GOYENDA GINNY,5,14,bangla,Bangla
Big Ganga,199,KUMKUM BHAGYA,1,14,bhojpuri,Bhojpuri
Big Ganga,187,HFF-SAUDAGAR (MANISHA KOIRALA),2,14,bhojpuri,Bhojpuri
Big Ganga,123,ZINDAGI KI MEHAK,3,14,bhojpuri,Bhojpuri
Big Ganga,117,TRIKAALI ABHISHAAP YA VARDAN,4,14,bhojpuri,Bhojpuri
Big Ganga,90,PIYA ALBELA,5,14,bhojpuri,Bhojpuri
STAR Movies,56,EFF-AVENGERS INFINITY WAR,1,14,english movies,Engligh
Movies Now,38,MODERN TIMES,2,14,english movies,Engligh
STAR Movies,38,EFF-DEADPOOL,3,14,english movies,Engligh
Sony PIX,35,EFF-JURASSIC WORLD FALLEN KINGDOM,4,14,english movies,Engligh
HBO,34,EFF-WORLD WAR Z,5,14,english movies,Engligh
Colors Gujarati,163,GFF-CHHELLO DIVAS,1,14,gujarati,Gujarati
DD Girnar,146,EVENING NEWS,2,14,gujarati,Gujarati
Colors Gujarati,138,GFF-DADA HO DIKRI,3,14,gujarati,Gujarati
Colors Gujarati,127,GFF-CHUNDADI ODHU NE SAAJAN SAMBHARE,4,14,gujarati,Gujarati
Colors Gujarati,104,GFF-SAMPOORNA MAHABHARAT,5,14,gujarati,Gujarati
STAR Gold,12731,FTT-HFF-DARBAR,1,14,hindi movies,Hindi
Sony MAX,7762,WTP-HFF-JURASSIC WORLD,2,14,hindi movies,Hindi
Sony MAX,7191,HFF-KGF CHAPTER 1,3,14,hindi movies,Hindi
Zee Cinema,5460,HFF-HUM AAPKE HAIN KOUN,4,14,hindi movies,Hindi
STAR Gold,5328,HFF-TOTAL DHAMAAL,5,14,hindi movies,Hindi
STAR Gold,3780,FTT-HFF-DARBAR,1,14,hindi movies rural,Hindi
Sony MAX,2345,HFF-KGF CHAPTER 1,2,14,hindi movies rural,Hindi
B4U Kadak,2252,HFF-SHAADI KARKE PHAS GAYA YAAR,3,14,hindi movies rural,Hindi
Sony MAX,2233,WTP-HFF-JURASSIC WORLD,4,14,hindi movies rural,Hindi
B4U Kadak,2146,HFF-CHORI MERA KAAM (VENKATESH),5,14,hindi movies rural,Hindi
STAR Gold,8951,FTT-HFF-DARBAR,1,14,hindi movies urban,Hindi
Sony MAX,5528,WTP-HFF-JURASSIC WORLD,2,14,hindi movies urban,Hindi
Sony MAX,4847,HFF-KGF CHAPTER 1,3,14,hindi movies urban,Hindi
Zee Cinema,3418,HFF-HUM AAPKE HAIN KOUN,4,14,hindi movies urban,Hindi
STAR Gold,3276,HFF-CHHAPAAK,5,14,hindi movies urban,Hindi
Zee Kannada,6458,GATTIMELA,1,14,kanada,Kanada
Udaya TV,4614,KFF-SAARATHI,2,14,kanada,Kanada
Udaya TV,4328,FTT-KFF-ADHYAKSHA IN AMERICA,3,14,kanada,Kanada
Zee Kannada,4113,KAMALI,4,14,kanada,Kanada
Zee Kannada,3977,PAARU,5,14,kanada,Kanada
NICK,1799,HFF-MOTU PATLU KING OF KINGS,1,14,kids,Kids
NICK,1637,HFF-MOTU PATLU DINO INVASION,2,14,kids,Kids
